City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
408,grajau,-5.8194,-46.1386,27.88,73,95,1.52,BR,1675778879
409,mattru,7.6244,-11.8332,36.58,31,38,1.5,SL,1675778880
410,lisakovsk,52.5369,62.4936,-16.52,100,89,2.9,KZ,1675778880
411,santa fe,17.486,120.4348,24.45,88,9,1.05,PH,1675778737
412,khangarh,29.9173,71.1618,21.04,26,21,2.41,PK,1675778880
413,darnah,32.767,22.6367,12.59,66,96,9.11,LY,1675778881
414,toora-khem,52.4675,96.11,-21.88,100,86,0.28,RU,1675778881
415,esperance,-33.8667,121.9,19.01,94,22,5.34,AU,1675778881
416,boda,4.3189,17.4695,38.63,7,32,3.25,CF,1675778881
417,ponta delgada,38.7333,-28.2667,11.48,62,100,8.14,PT,1675778882
418,boddam,57.4667,-1.7833,9.8,88,100,3.14,GB,1675778883
419,kanadey,53.1679,47.5264,-13.62,97,34,2.41,RU,1675778883
420,omboue,-1.5746,9.2618,28.42,70,94,3.12,GA,1675778884
421,chapais,49.7834,-74.8492,-9.03,74,100,6.57,CA,1675778805
422,komsomolskiy,40.4272,71.7189,8.4,66,5,0.0,UZ,1675778884
423,atambua,-9.1061,124.8925,24.39,83,98,1.05,ID,1675778885
424,burnie,-41.0667,145.9167,13.3,75,4,4.1,AU,1675778885
425,colomi,-17.35,-65.8667,11.71,88,100,0.82,BO,1675778886
426,anloga,5.7947,0.8973,28.56,73,100,5.19,GH,1675778886
427,lasa,46.6166,10.7002,5.01,59,1,1.4,IT,1675778887
428,san vicente,13.3034,-4.8956,37.84,7,98,3.8,ML,1675778887
429,ambon,-3.6954,128.1814,27.08,83,40,1.54,ID,1675778888
430,vitim,59.4511,112.5578,-20.57,100,100,0.89,RU,1675778889
431,kongolo,-5.3833,27.0,30.07,55,88,0.65,CD,1675778890
432,viedma,-40.8135,-62.9967,29.27,33,0,2.45,AR,1675778890
433,upington,-28.4478,21.2561,33.21,27,40,2.57,ZA,1675778891
434,esmeraldas,-19.7625,-44.3139,27.48,78,100,0.79,BR,1675778637
435,korla,41.7597,86.1469,0.27,80,100,0.61,CN,1675778723
436,zheleznodorozhnyy,55.7503,38.0042,-3.9,97,41,1.0,RU,1675778892
437,along,28.1667,94.7667,12.33,88,67,1.19,IN,1675778892
438,tynda,55.1667,124.7167,-36.24,99,72,1.12,RU,1675778893
439,dentsville,34.064,-80.9582,7.03,87,0,0.0,US,1675778894
440,mtwara,-10.2667,40.1833,26.31,84,100,3.08,TZ,1675778895
441,paracuru,-3.41,-39.0306,26.17,78,100,4.38,BR,1675778895
442,ampanihy,-24.7,44.75,26.62,65,100,5.86,MG,1675778896
443,shakiso,5.75,38.9167,28.2,13,9,3.93,ET,1675778897
444,lata,40.1629,-8.3327,13.78,41,0,2.05,PT,1675778897
445,jaguaruna,-28.615,-49.0256,27.4,58,0,2.73,BR,1675778898
446,wajima,37.4,136.9,7.63,71,100,5.28,JP,1675778898
447,metro,-5.1131,105.3067,23.96,94,100,2.57,ID,1675778899
448,rocha,-34.4833,-54.3333,30.7,34,4,2.14,UY,1675778899
449,constitucion,-35.3333,-72.4167,21.64,49,0,1.6,CL,1675778632
450,berezovyy,51.6667,135.7,-25.54,98,90,1.67,RU,1675778900
451,agdam,39.991,46.9274,4.46,92,100,1.8,AZ,1675778901
452,arlit,18.7369,7.3853,32.25,8,100,1.0,NE,1675778901
453,firozpur,30.9167,74.6,15.88,24,1,2.51,IN,1675778902
454,yabelo,4.8833,38.0833,26.75,14,37,3.96,ET,1675778903
455,parnamirim,-5.9156,-35.2628,31.19,42,81,5.95,BR,1675778898
456,obihiro,42.9172,143.2044,-10.29,89,30,1.69,JP,1675778903
457,concordia,-31.393,-58.0209,32.04,33,0,2.57,AR,1675778904
458,naryan-mar,67.6713,53.087,-10.06,94,100,9.44,RU,1675778905
459,yidu,24.1614,115.1328,17.21,83,97,1.55,CN,1675778906
460,berestechko,50.3605,25.1107,0.56,88,98,2.74,UA,1675778907
461,yanam,16.7333,82.2167,22.41,77,100,2.51,IN,1675778909
462,xuanhua,40.6103,115.0447,-2.21,57,9,3.1,CN,1675778909
463,rio grande,38.3,21.7833,7.95,53,94,6.07,GR,1675778910
464,ziarat,30.3823,67.7282,5.8,29,33,1.51,PK,1675778911
465,darhan,49.4867,105.9228,-20.41,96,9,2.83,MN,1675778911
466,youkounkoun,12.5333,-13.1333,37.26,9,78,2.7,GN,1675778913
467,poronaysk,49.2167,143.1167,-23.71,98,100,1.74,RU,1675778913
468,itarema,-2.9248,-39.9167,28.31,71,100,4.5,BR,1675778914
469,barguzin,53.6167,109.6167,-15.77,93,57,1.64,RU,1675778914
470,saravan,39.7196,45.6483,-2.31,96,95,0.85,AM,1675778914
471,filadelfia,39.9523,-75.1638,1.67,74,0,4.63,US,1675778640
472,moose factory,43.6558,-110.7183,-8.04,93,100,3.09,US,1675778915
473,kokopo,-4.352,152.2633,25.74,84,100,2.64,PG,1675778915
474,traverse city,44.9428,7.118,3.7,52,0,0.79,IT,1675778916
475,pali,25.7667,73.3333,20.75,22,1,0.94,IN,1675778916
476,tual,-5.6667,132.75,27.51,78,100,7.13,ID,1675778916
